"Player","Runs","Mins","BF","4s","6s","SR","Inns","","Opposition","Ground","Start Date",""
"GS Ballance (Eng)","64","93","72","5","1","88.88","1","","v Sri Lanka","The Oval","22 May 2014",""
"AM Rahane (India)","64","93","70","5","2","91.42","2","","v Bangladesh","Dhaka","15 Jun 2014",""
"R Mutumbami (Zim)","64","80","75","8","0","85.33","2","","v Afghanistan","Bulawayo","24 Jul 2014",""
"DR Smith (WI)","64","100","65","9","1","98.46","2","","v South Africa","Johannesburg","18 Jan 2015",""
"CJ Chibhabha (Zim)","64","93","82","10","0","78.04","2","","v South Africa","Hamilton","15 Feb 2015",""
"Q de Kock (SA)","63","85","68","8","1","92.64","1","","v Zimbabwe","Bulawayo","17 Aug 2014",""
"DPMD Jayawardene (SL)","63","107","66","8","0","95.45","1","","v Pakistan","Hambantota","23 Aug 2014",""
"F Behardien (SA)","63","58","41","7","2","153.65","1","","v Australia","Sydney","23 Nov 2014",""
"BRM Taylor (Zim)","63","93","69","7","0","91.30","2","","v Bangladesh","Dhaka","28 Nov 2014",""
"KC Sangakkara (SL)","63","110","62","7","0","101.61","1","","v England","Hambantota","3 Dec 2014",""
"Shakib Al Hasan (Ban)","63","86","51","6","1","123.52","1","","v Afghanistan","Canberra","18 Feb 2015",""
"HDRL Thirimanne (SL)","62*","77","47","7","0","131.91","1","","v England","Hambantota","3 Dec 2014",""
"GC Wilson (Ire)","62","-","96","3","0","64.58","1","","v West Indies","Kingston","23 Feb 2014",""
"Fawad Alam (Pak)","62","105","61","7","0","101.63","2","","v Sri Lanka","Hambantota","23 Aug 2014",""
"Mohammad Hafeez (Pak)","62","61","49","11","0","126.53","2","","v Sri Lanka","Hambantota","26 Aug 2014",""
"V Kohli (India)","62","124","78","5","0","79.48","1","","v West Indies","Delhi","11 Oct 2014",""
"SK Raina (India)","62","83","60","5","2","103.33","1","","v West Indies","Delhi","11 Oct 2014",""
"Mohammad Shahzad (UAE)","62","-","59","6","2","105.08","1","","v Afghanistan","Dubai (CA)","2 Dec 2014",""
"EJG Morgan (Eng)","62","59","47","4","3","131.91","1","","v Sri Lanka","Colombo (RPS)","7 Dec 2014",""
"RD Berrington (Scot)","62","-","84","3","0","73.80","1","","v Afghanistan","Abu Dhabi","14 Jan 2015",""
"CJA Amini (PNG)","61*","-","67","8","0","91.04","2","","v Hong Kong","Townsville","8 Nov 2014",""
"HM Amla (SA)","61*","99","63","9","0","96.82","2","","v West Indies","East London","21 Jan 2015",""
"DJG Sammy (WI)","61","52","36","5","4","169.44","1","","v England","North Sound","28 Feb 2014",""
"H Masakadza (Zim)","61","108","75","6","1","81.33","2","","v South Africa","Bulawayo","17 Aug 2014",""
"D Ramdin (WI)","61","100","59","5","2","103.38","1","","v India","Kochi","8 Oct 2014",""
"Ahmed Shehzad (Pak)","61","107","82","5","0","74.39","1","","v Australia","Dubai (DSC)","10 Oct 2014",""
"KC Sangakkara (SL)","61","-","86","4","0","70.93","1","","v India","Ahmedabad","6 Nov 2014",""
"Shahid Afridi (Pak)","61","81","51","7","1","119.60","2","","v New Zealand","Dubai (DSC)","8 Dec 2014",""
"HDRL Thirimanne (SL)","60*","154","101","2","1","59.40","2","","v England","Birmingham","3 Jun 2014",""
"Mominul Haque (Ban)","60","70","60","8","0","100.00","1","","v Sri Lanka","Dhaka","22 Feb 2014",""
"S Dhawan (India)","60","98","78","4","1","76.92","2","","v Afghanistan","Dhaka","5 Mar 2014",""
"Afsar Zazai (Afg)","60","-","109","4","0","55.04","1","","v U.A.E.","Dubai (CA)","28 Nov 2014",""
"MR Marsh (Aus)","60","99","68","7","1","88.23","1","","v England","Perth","1 Feb 2015",""
"LRPL Taylor (NZ)","59*","119","81","4","0","72.83","2","","v Pakistan","Wellington","31 Jan 2015",""
"Imrul Kayes (Ban)","59","112","75","5","2","78.66","1","","v Pakistan","Dhaka","4 Mar 2014",""
"Shahid Afridi (Pak)","59","34","25","2","7","236.00","2","","v Bangladesh","Dhaka","4 Mar 2014",""
"Umar Akmal (Pak)","59","65","42","7","0","140.47","1","","v Sri Lanka","Dhaka","8 Mar 2014",""
"Mushfiqur Rahim (Ban)","59","70","63","3","3","93.65","1","","v India","Dhaka","15 Jun 2014",""
"F du Plessis (SA)","59","77","77","4","0","76.62","1","","v Zimbabwe","Bulawayo","17 Aug 2014",""
"JJ Atkinson (HK)","59","-","79","5","0","74.68","1","","v P.N.G.","Townsville","8 Nov 2014",""
"HDRL Thirimanne (SL)","59","113","69","7","1","85.50","2","","v India","Kolkata","13 Nov 2014",""
"AT Rayudu (India)","59","98","69","8","1","85.50","2","","v Sri Lanka","Ranchi","16 Nov 2014",""
"MDKJ Perera (SL)","59","89","74","5","1","79.72","1","","v England","Colombo (RPS)","26 Nov 2014",""
"Umar Akmal (Pak)","59","88","71","5","1","83.09","2","","v West Indies","Christchurch","21 Feb 2015",""
"JP Duminy (SA)","58*","92","72","3","2","80.55","2","","v New Zealand","Mount Maunganui","21 Oct 2014",""
"AT Rayudu (India)","58","117","62","4","1","93.54","1","","v Pakistan","Dhaka","2 Mar 2014",""
"AD Mathews (SL)","58","127","81","5","1","71.60","2","","v South Africa","Hambantota","12 Jul 2014",""
"CH Gayle (WI)","58","91","67","3","5","86.56","1","","v Bangladesh","St George's","22 Aug 2014",""
"MM Ali (Eng)","58","65","40","2","5","145.00","2","","v Sri Lanka","Hambantota","3 Dec 2014",""
"AP Devcich (NZ)","58","102","66","8","0","87.87","2","","v Pakistan","Sharjah","12 Dec 2014",""
"MJ Guptill (NZ)","58","100","78","7","0","74.35","1","","v Pakistan","Abu Dhabi","17 Dec 2014",""
"Misbah-ul-Haq (Pak)","58","148","87","4","2","66.66","1","","v New Zealand","Wellington","31 Jan 2015",""
"AB de Villiers (SA)","57*","70","41","6","2","139.02","2","","v Australia","Harare","6 Sep 2014",""
"KOA Powell (WI)","57","-","80","7","0","71.25","2","","v Ireland","Kingston","23 Feb 2014",""
"D Ramdin (WI)","57","92","55","4","1","103.63","2","","v South Africa","Johannesburg","18 Jan 2015",""
"KS Williamson (NZ)","57","70","65","5","1","87.69","1","","v Sri Lanka","Christchurch","14 Feb 2015",""
"KJ O'Brien (Ire)","56*","-","56","7","1","100.00","2","","v Scotland","Dublin","8 Sep 2014",""
"JWA Taylor (Eng)","56*","94","63","4","0","88.88","2","","v India","Brisbane","20 Jan 2015",""
"RG Sharma (India)","56","86","58","7","2","96.55","1","","v Pakistan","Dhaka","2 Mar 2014",""
"AM Rahane (India)","56","90","66","5","0","84.84","2","","v Afghanistan","Dhaka","5 Mar 2014",""
"AN Cook (Eng)","56","118","85","3","0","65.88","1","","v Sri Lanka","Birmingham","3 Jun 2014",""
"Javed Ahmadi (Afg)","56","80","57","7","1","98.24","2","","v Zimbabwe","Bulawayo","22 Jul 2014",""
"Shafiqullah (Afg)","56","73","43","3","2","130.23","1","","v Zimbabwe","Bulawayo","24 Jul 2014",""
"Ahmed Shehzad (Pak)","56","114","80","6","0","70.00","2","","v Sri Lanka","Hambantota","26 Aug 2014",""
"DA Warner (Aus)","56","93","63","6","1","88.88","1","","v Pakistan","Abu Dhabi","12 Oct 2014",""
"MW Machan (Scot)","56","111","79","7","1","70.88","1","","v New Zealand","Dunedin","17 Feb 2015",""
"AD Mathews (SL)","55*","62","50","5","1","110.00","1","","v Pakistan","Fatullah","25 Feb 2014",""
"JC Buttler (Eng)","55*","46","37","9","0","148.64","2","","v Sri Lanka","Hambantota","3 Dec 2014",""
"LD Chandimal (SL)","55*","89","50","2","1","110.00","1","","v England","Colombo (RPS)","16 Dec 2014",""
"DR Smith (WI)","55","-","53","5","3","103.77","2","","v Ireland","Kingston","23 Feb 2014",""
"MM Ali (Eng)","55","92","59","3","1","93.22","1","","v West Indies","North Sound","5 Mar 2014",""
"Usman Ghani (Afg)","55","-","77","5","2","71.42","1","","v U.A.E.","Kuala Lumpur","2 May 2014",""
"F du Plessis (SA)","55","112","72","3","0","76.38","1","","v Zimbabwe","Bulawayo","19 Aug 2014",""
"SC Williams (Zim)","55","103","84","3","2","65.47","2","","v South Africa","Bulawayo","19 Aug 2014",""
"Tamim Iqbal (Ban)","55","92","62","9","0","88.70","2","","v West Indies","Basseterre","25 Aug 2014",""
"Anshuman Rath (HK)","55","-","81","6","0","67.90","1","","v P.N.G.","Townsville","9 Nov 2014",""
"Babar Hayat (HK)","55","-","54","7","1","101.85","1","","v P.N.G.","Townsville","9 Nov 2014",""
"DPMD Jayawardene (SL)","55","88","58","5","0","94.82","1","","v England","Colombo (RPS)","26 Nov 2014",""
"JE Root (Eng)","55","114","76","4","0","72.36","2","","v Sri Lanka","Pallekele","13 Dec 2014",""
"Shahid Afridi (Pak)","55","57","26","6","3","211.53","1","","v New Zealand","Sharjah","14 Dec 2014",""
"Ahmed Shehzad (Pak)","55","83","62","8","0","88.70","2","","v New Zealand","Napier","3 Feb 2015",""
"GJ Bailey (Aus)","55","113","69","3","0","79.71","1","","v England","Melbourne","14 Feb 2015",""
"F du Plessis (SA)","55","98","71","5","0","77.46","2","","v India","Melbourne","22 Feb 2015",""
"Mohammad Nabi (Afg)","54","36","33","3","3","163.63","1","","v Zimbabwe","Bulawayo","18 Jul 2014",""
"AJ Finch (Aus)","54","115","87","5","0","62.06","1","","v South Africa","Harare","6 Sep 2014",""
"VV Morea (PNG)","54","-","76","3","1","71.05","2","","v Hong Kong","Townsville","8 Nov 2014",""
"BRM Taylor (Zim)","54","90","72","4","1","75.00","2","","v Bangladesh","Chittagong","21 Nov 2014",""
"NLTC Perera (SL)","54","31","26","7","1","207.69","1","","v England","Colombo (RPS)","16 Dec 2014",""
"Ahmed Shehzad (Pak)","54","107","81","2","0","66.66","2","","v New Zealand","Abu Dhabi","19 Dec 2014",""
"KS Williamson (NZ)","54","120","83","4","0","65.06","2","","v Sri Lanka","Wellington","29 Jan 2015",""
"Asghar Stanikzai (Afg)","54","80","57","5","1","94.73","1","","v Sri Lanka","Dunedin","22 Feb 2015",""
"E Chigumbura (Zim)","53*","81","46","4","2","115.21","2","","v Bangladesh","Dhaka","26 Nov 2014",""
"JH Davey (Scot)","53*","-","48","5","0","110.41","1","","v Afghanistan","Abu Dhabi","14 Jan 2015",""
"Babar Hayat (HK)","53","-","66","6","2","80.30","1","","v Afghanistan","Kuala Lumpur","1 May 2014",""
"Noor Ali Zadran (Afg)","53","-","73","5","0","72.60","1","","v U.A.E.","Kuala Lumpur","2 May 2014",""
"DPMD Jayawardene (SL)","53","110","90","4","0","58.88","2","","v England","Birmingham","3 Jun 2014",""
"BRM Taylor (Zim)","53","116","81","3","0","65.43","1","","v Afghanistan","Bulawayo","22 Jul 2014",""
"DM Bravo (WI)","53","118","82","2","1","64.63","1","","v Bangladesh","St George's","22 Aug 2014",""
"AT Rayudu (India)","53","89","65","3","2","81.53","2","","v England","Leeds","5 Sep 2014",""
"TM Dilshan (SL)","53","-","80","7","0","66.25","1","","v India","Hyderabad (Deccan)","9 Nov 2014",""
"V Kohli (India)","53","-","61","4","1","86.88","2","","v Sri Lanka","Hyderabad (Deccan)","9 Nov 2014",""
"DA Warner (Aus)","53","88","50","6","2","106.00","1","","v South Africa","Canberra","19 Nov 2014",""
"Khurram Khan (UAE)","53","-","70","5","0","75.71","2","","v Afghanistan","Dubai (CA)","28 Nov 2014",""
"RA Jadeja (India)","52*","62","49","4","2","106.12","1","","v Pakistan","Dhaka","2 Mar 2014",""
"E Chigumbura (Zim)","52*","96","68","4","0","76.47","2","","v Australia","Harare","31 Aug 2014",""
"Mirwais Ashraf (Afg)","52*","-","51","2","3","101.96","2","","v U.A.E.","Dubai (CA)","2 Dec 2014",""
"Nasir Jamal (Afg)","52*","-","51","6","0","101.96","2","","v Scotland","Dubai (CA)","8 Jan 2015",""
"Mohammad Hafeez (Pak)","52","77","55","8","0","94.54","2","","v Bangladesh","Dhaka","4 Mar 2014",""
"Shakib Al Hasan (Ban)","52","75","58","4","1","89.65","1","","v India","Dhaka","15 Jun 2014",""
"RG Sharma (India)","52","126","87","4","1","59.77","1","","v England","Cardiff","27 Aug 2014",""
"MS Dhoni (India)","52","94","51","6","0","101.96","1","","v England","Cardiff","27 Aug 2014",""
"SK Raina (India)","52","36","34","4","3","152.94","1","","v Sri Lanka","Cuttack","2 Nov 2014",""
"HDRL Thirimanne (SL)","52","97","76","2","1","68.42","1","","v India","Ranchi","16 Nov 2014",""
"AB de Villiers (SA)","52","46","34","6","1","152.94","2","","v Australia","Canberra","19 Nov 2014",""
"MS Wade (Aus)","52","96","59","4","1","88.13","2","","v South Africa","Melbourne","21 Nov 2014",""
"SF Mire (Zim)","52","69","54","6","2","96.29","2","","v Bangladesh","Dhaka","28 Nov 2014",""
"Nawroz Mangal (Afg)","52","-","70","5","1","74.28","1","","v U.A.E.","Dubai (CA)","28 Nov 2014",""
"AR Berenger (UAE)","52","-","71","5","0","73.23","2","","v Afghanistan","Dubai (CA)","28 Nov 2014",""
"H Masakadza (Zim)","52","66","54","5","3","96.29","1","","v Bangladesh","Dhaka","1 Dec 2014",""
"Mushfiqur Rahim (Ban)","51*","54","33","8","0","154.54","1","","v Pakistan","Dhaka","4 Mar 2014",""
"MS Dhoni (India)","51*","66","40","5","1","127.50","1","","v West Indies","Delhi","11 Oct 2014",""
"Mahmudullah (Ban)","51*","95","55","10","0","92.72","2","","v Zimbabwe","Dhaka","1 Dec 2014",""
"AD Mathews (SL)","51*","103","60","5","0","85.00","2","","v England","Colombo (RPS)","7 Dec 2014",""
"F du Plessis (SA)","51*","74","71","5","0","71.83","2","","v West Indies","East London","21 Jan 2015",""
"Mominul Haque (Ban)","51","69","47","6","0","108.51","1","","v Pakistan","Dhaka","4 Mar 2014",""
"RS Bopara (Eng)","51","80","47","1","0","108.51","2","","v Sri Lanka","Lord's","31 May 2014",""
"SC Williams (Zim)","51","80","46","3","1","110.86","2","","v South Africa","Bulawayo","17 Aug 2014",""
"PJ Hughes (Aus)","51","81","63","8","0","80.95","1","","v South Africa","Harare","27 Aug 2014",""
"JP Duminy (SA)","51","73","62","3","0","82.25","1","","v Zimbabwe","Harare","4 Sep 2014",""
"HM Amla (SA)","51","95","75","2","0","68.00","2","","v Australia","Harare","6 Sep 2014",""
"RR Rossouw (SA)","51","82","71","5","0","71.83","1","","v Australia","Sydney","23 Nov 2014",""
"RS Bopara (Eng)","51","93","69","1","0","73.91","1","","v Sri Lanka","Colombo (RPS)","29 Nov 2014",""
"Afsar Zazai (Afg)","51","-","83","3","0","61.44","1","","v U.A.E.","Dubai (CA)","30 Nov 2014",""
"Shaiman Anwar (UAE)","51","-","53","6","2","96.22","1","","v Afghanistan","Dubai (CA)","4 Dec 2014",""
"EC Joyce (Ire)","51","-","67","3","0","76.11","2","","v Afghanistan","Dubai (DSC)","10 Jan 2015",""
"BB McCullum (NZ)","51","29","22","6","3","231.81","2","","v Sri Lanka","Christchurch","11 Jan 2015",""
"SK Raina (India)","51","105","63","6","0","80.95","1","","v Australia","Melbourne","18 Jan 2015",""
"DJG Sammy (WI)","51","66","52","5","2","98.07","2","","v South Africa","Port Elizabeth","25 Jan 2015",""
"D Ramdin (WI)","51","65","43","7","0","118.60","1","","v Pakistan","Christchurch","21 Feb 2015",""
"TM Dilshan (SL)","50*","84","55","9","0","90.90","2","","v Pakistan","Dambulla","30 Aug 2014",""
"JP Faulkner (Aus)","50*","34","24","4","4","208.33","1","","v England","Perth","1 Feb 2015",""
"Ahmed Shehzad (Pak)","50","97","74","7","0","67.56","1","","v Afghanistan","Fatullah","27 Feb 2014",""
"Mominul Haque (Ban)","50","104","72","6","0","69.44","2","","v Afghanistan","Fatullah","1 Mar 2014",""
"Samiullah Shenwari (Afg)","50","80","73","6","1","68.49","1","","v India","Dhaka","5 Mar 2014",""
"IR Bell (Eng)","50","48","34","4","2","147.05","1","","v Scotland","Aberdeen","9 May 2014",""
"IR Bell (Eng)","50","88","56","4","1","89.28","1","","v Sri Lanka","The Oval","22 May 2014",""
"RV Uthappa (India)","50","67","44","3","3","113.63","2","","v Bangladesh","Dhaka","15 Jun 2014",""
"MA Leask (Scot)","50","-","50","7","1","100.00","1","","v Ireland","Dublin","8 Sep 2014",""
"Asad Shafiq (Pak)","50","97","73","5","0","68.49","2","","v Australia","Abu Dhabi","12 Oct 2014",""
"SF Mire (Zim)","50","113","79","2","0","63.29","2","","v Bangladesh","Chittagong","23 Nov 2014",""
"Samiullah Shenwari (Afg)","50","-","96","1","1","52.08","1","","v Ireland","Dubai (DSC)","17 Jan 2015",""
"MN Samuels (WI)","50","69","47","1","4","106.38","2","","v South Africa","Centurion","28 Jan 2015",""
"RD Berrington (Scot)","50","104","80","4","1","62.50","1","","v New Zealand","Dunedin","17 Feb 2015",""
"LMP Simmons (WI)","50","91","46","4","2","108.69","1","","v Pakistan","Christchurch","21 Feb 2015",""
"Sohaib Maqsood (Pak)","50","92","66","4","1","75.75","2","","v West Indies","Christchurch","21 Feb 2015",""
"DM Bravo (WI)","49*","115","78","3","0","62.82","1","","v Pakistan","Christchurch","21 Feb 2015",""
"Anamul Haque (Ban)","49","110","86","2","1","56.97","1","","v Sri Lanka","Dhaka","6 Mar 2014",""
"SC Williams (Zim)","49","80","52","4","1","94.23","1","","v Afghanistan","Bulawayo","22 Jul 2014",""
"Ahmed Shehzad (Pak)","49","93","61","5","0","80.32","2","","v Sri Lanka","Hambantota","23 Aug 2014",""
"BJ Haddin (Aus)","49","91","66","2","3","74.24","1","","v Zimbabwe","Harare","31 Aug 2014",""
"JC Buttler (Eng)","49","45","40","5","2","122.50","1","","v India","Leeds","5 Sep 2014",""
"V Kohli (India)","49","-","44","2","2","111.36","2","","v Sri Lanka","Ahmedabad","6 Nov 2014",""
"Shahid Afridi (Pak)","49","36","25","5","2","196.00","2","","v New Zealand","Abu Dhabi","17 Dec 2014",""
"MJ Guptill (NZ)","49","94","62","5","0","79.03","1","","v Sri Lanka","Christchurch","14 Feb 2015",""
"JE Root (Eng)","48*","90","48","2","2","100.00","2","","v Sri Lanka","Hambantota","3 Dec 2014",""
"Afsar Zazai (Afg)","48*","-","58","5","0","82.75","2","","v Scotland","Dubai (CA)","8 Jan 2015",""
"V Kohli (India)","48","66","51","4","1","94.11","1","","v Sri Lanka","Fatullah","28 Feb 2014",""
"DPMD Jayawardene (SL)","48","88","70","1","0","68.57","1","","v South Africa","Pallekele","9 Jul 2014",""
"HM Amla (SA)","48","83","61","4","0","78.68","1","","v Sri Lanka","Hambantota","12 Jul 2014",""
"AB de Villiers (SA)","48","61","41","8","0","117.07","2","","v Australia","Perth","16 Nov 2014",""
"Nawroz Mangal (Afg)","48","-","47","7","1","102.12","2","","v U.A.E.","Dubai (CA)","4 Dec 2014",""
"Usman Ghani (Afg)","48","-","39","6","1","123.07","2","","v Scotland","Dubai (CA)","8 Jan 2015",""
"NLTC Perera (SL)","47*","32","26","6","1","180.76","2","","v Afghanistan","Dunedin","22 Feb 2015",""
"Q de Kock (SA)","47","75","53","4","1","88.67","2","","v Australia","Canberra","19 Nov 2014",""
"Amjad Ali (UAE)","47","-","56","7","1","83.92","1","","v Afghanistan","Dubai (CA)","2 Dec 2014",""
"Misbah-ul-Haq (Pak)","47","72","65","2","2","72.30","1","","v New Zealand","Sharjah","12 Dec 2014",""
"DG Brownlie (NZ)","47","77","61","8","0","77.04","2","","v Pakistan","Sharjah","12 Dec 2014",""
"SPD Smith (Aus)","47","66","52","6","0","90.38","2","","v India","Melbourne","18 Jan 2015",""
"CJ Anderson (NZ)","47","56","44","2","2","106.81","2","","v Sri Lanka","Nelson","20 Jan 2015",""
"L Ronchi (NZ)","47","59","42","4","1","111.90","2","","v Sri Lanka","Wellington","29 Jan 2015",""
"Ahmed Shehzad (Pak)","47","95","73","5","0","64.38","2","","v India","Adelaide","15 Feb 2015",""
"BRM Taylor (Zim)","47","47","44","5","1","106.81","2","","v U.A.E.","Nelson","19 Feb 2015",""
"BJ Haddin (Aus)","46","74","58","2","2","79.31","1","","v Zimbabwe","Harare","25 Aug 2014",""
"SC Williams (Zim)","46","79","57","3","1","80.70","2","","v South Africa","Harare","29 Aug 2014",""
"AN Cook (Eng)","46","77","64","6","0","71.87","1","","v India","Leeds","5 Sep 2014",""
"Umar Akmal (Pak)","46","84","57","6","0","80.70","2","","v Australia","Sharjah","7 Oct 2014",""
"DR Smith (WI)","46","77","45","4","2","102.22","1","","v India","Kochi","8 Oct 2014",""
"AD Russell (WI)","46","23","23","6","3","200.00","2","","v India","Dharamsala","17 Oct 2014",""
"DA Warner (Aus)","46","68","49","1","3","93.87","1","","v South Africa","Perth","14 Nov 2014",""
