"Player.Name","Home.Country","Opposite.Country","runs","Fours","Six"
"JE Root","England","Sri Lanka",42,1,0
"DG Brownlie","New Zealand","Pakistan",42,6,0
"TWM Latham","New Zealand","Sri Lanka",42,4,0
"BJ Haddin","Australia","England",42,4,1
"Samiullah Shenwari","Afghanistan","Bangladesh",42,2,0
"CR Ervine","Zimbabwe","U.A.E.",42,2,2
"IR Bell","England","Sri Lanka",41,4,1
"Nasir Hossain","Bangladesh","Afghanistan",41,1,1
"Ziaur Rahman","Bangladesh","Afghanistan",41,4,3
"Mahmudullah","Bangladesh","India",41,6,0
"Samiullah Shenwari","Afghanistan","Zimbabwe",41,3,0
"AM Rahane","India","England",41,4,0
"Asghar Stanikzai","Afghanistan","U.A.E.",41,3,1
"CR Woakes","England","Sri Lanka",41,4,0
"L Ronchi","New Zealand","Pakistan",41,6,0
"CH Gayle","West Indies","South Africa",41,5,2
"SR Watson","Australia","India",41,5,1
"Asghar Stanikzai","Afghanistan","Pakistan",40,3,0
"KC Sangakkara","Sri Lanka","England",40,2,0
"EJG Morgan","England","Sri Lanka",40,3,2
"TM Dilshan","Sri Lanka","South Africa",40,5,0
"Samiullah Shenwari","Afghanistan","Zimbabwe",40,2,0
"F du Plessis","South Africa","Zimbabwe",40,8,0
"LMP Simmons","West Indies","Bangladesh",40,3,0
"AD Hales","England","India",40,5,0
"V Kohli","India","England",40,2,1
"JH Davey","Scotland","Ireland",40,4,0
"KA Pollard","West Indies","India",40,1,3
"DM Bravo","West Indies","India",40,6,0
